text_form	form	lemma	pos
ΙΩΑΝΝΟΥ	ιωαννου	Ἰωάννης	N+Ant
ΑΝΑΓΝΩΣΤΟΥ	αναγνωστου	ἀναγνώστης	N+Com
Διήγησις	διήγησις	διήγησις	N+Com
περὶ	περί	περί	I+Prep
τῆς	τῆς	ὁ	DET
τελευταίας	τελευταίας	τελευταῖος	A
ἁλώσεως	ἁλώσεως	ἅλωσις	N+Com
τῆς	τῆς	ὁ	DET
Θεσσαλονίκης	θεσσαλονίκης	Θεσσαλονίκη	N+Top
συντεθεῖσα	συντεθεῖσα	συντίθημι	V
πρός	πρός	πρός	I+Prep
τινα	τινα	τις	PRO+Ind
τῶν	τῶν	ὁ	DET
ἀξιολόγων,	ἀξιολόγων	ἀξιόλογος	A
πολλάκις	πολλάκις	πολλάκις	I+Adv
αἰτήσαντα	αἰτήσαντα	αἰτέω	V
περὶ	περί	περί	I+Prep
ταύτης,	ταύτης	οὗτος	PRO+Dem
ἐν	ἐν	ἐν	I+Prep
ἐπιτόμῳ.	ἐπιτόμῳ	ἐπίτομος	A
Πολλὰ	πολλά	πολύς	A
μὲν	μέν	μέν	I+Part
ἡμῖν	ἡμῖν	ἡμεῖς	PRO+Per1p
πολλάκις	πολλάκις	πολλάκις	I+Adv
καὶ	καί	καί	I+Part
ἄλλα	ἄλλα	ἄλλος	PRO+Ind
τὸ	τό	ὁ	DET
τῆς	τῆς	ὁ	DET
ψυχῆς	ψυχῆς	ψυχή	N+Com
σου	σου	σύ	PRO+Per2s
φιλόπονον	φιλόπονον	φιλόπονος	A
ἀριδήλως	ἀριδήλως	ἀριδήλως	I+Adv
ἐγνώρισεν,	ἐγνώρισεν	γνωρίζω	V
ἀνδρῶν	ἀνδρῶν	ἀνήρ	N+Com
ἄριστε	ἄριστε	ἀγαθός	A
καὶ	καί	καί	I+Part
φιλομαθέστατε,	φιλομαθέστατε	φιλομαθής	A
οὐχ	οὐχ	οὐ	I+Neg
ἧττον	ἧττον	μικρός	A
δὲ	δέ	δέ	I+Part
καὶ	καί	καί	I+Part
ἡ	ἡ	ὁ	DET
πρὸς	πρός	πρός	I+Prep
τὴν	τήν	ὁ	DET
διήγησιν	διήγησιν	διήγησις	N+Com
τῶν	τῶν	ὁ	DET
ἤδη	ἤδη	ἤδη	I+Adv
τῇ	τῇ	ὁ	DET
περιφανεῖ	περιφανεῖ	περιφανής	A
τὸ	τό	ὁ	DET
πρότερον	πρότερον	πρότερος	A
πόλει	πόλει	πόλις	N+Com
Θεσσαλονίκῃ	θεσσαλονίκῃ	Θεσσαλονίκη	N+Top
συμβεβηκότων	συμβεβηκότων	συμβαίνω	V
σπουδή	σπουδή	σπουδή	N+Com
σου	σου	σύ	PRO+Per2s
καὶ	καί	καί	I+Part
τὸ	τό	ὁ	DET
λόγοις	λόγοις	λόγος	N+Com
ἡμᾶς	ἡμᾶς	ἡμεῖς	PRO+Per1p
συνετῶς	συνετῶς	συνετῶς	I+Adv
ἄγαν	ἄγαν	ἄγαν	I+Adv
ἔχουσι	ἔχουσι	ἔχω	V
διεγεῖραι,	διεγεῖραι	διεγείρω	V
ταύτην	ταύτην	οὗτος	PRO+Dem
ὡς	ὡς	ὡς (ὅς)	I+Conj
ἂν	ἄν	ἄν	I+Part
ἐπίδηλόν	ἐπίδηλον	ἐπίδηλος	A
σοι	σοι	σύ	PRO+Per2s
κατὰ	κατά	κατά	I+Prep
δύναμιν	δύναμιν	δύναμις	N+Com
θέσθαι	θέσθαι	τίθημι	V
τὴν	τήν	ὁ	DET
ἡμετέραν	ἡμετέραν	ἡμέτερος	PRO+Pos1p
σπουδάσωμεν	σπουδάσωμεν	σπουδάζω	V
καὶ	καί	καί	I+Part
ὥσπερ	ὥσπερ	ὥσπερ	I+Conj
ὑπ´	ὑπ´	ὑπό	I+Prep
ὄψιν	ὄψιν	ὄψις (ἡ)	N+Com
ἀγάγωμεν.	ἀγάγωμεν	ἄγω	V
Δείκνυσι	δείκνυσι	δείκνυμι	V
γάρ	γάρ	γάρ	I+Part
σου	σου	σύ	PRO+Per2s
περιφανῶς	περιφανῶς	περιφανῶς	I+Adv
τὴν	τήν	ὁ	DET
ψυχήν,	ψυχήν	ψυχή	N+Com
περὶ	περί	περί	I+Prep
τὴν	τήν	ὁ	DET
τῶν	τῶν	ὁ	DET
ἀναγκαίων	ἀναγκαίων	ἀναγκαῖος	A
ὅπως	ὅπως	ὅπως	I+Conj
μάθησιν	μάθησιν	μάθησις	N+Com
ἔχει	ἔχει	ἔχω	V
καὶ	καί	καί	I+Part
ὡς	ὡς	ὡς (ὅς)	I+Conj
ἐκ	ἐκ	ἐκ	I+Prep
τοῦ	τοῦ	ὁ	DET
προσέχειν	προσέχειν	προσέχω	V
ἱστορίαις	ἱστορίαις	ἱστορία	N+Com
καὶ	καί	καί	I+Part
λόγοις,	λόγοις	λόγος	N+Com
οἷς	οἷς	ὅς ἥ ὅ	PRO+Rel
ἄνθρωποι	ἄνθρωποι	ἄνθρωπος	N+Com
πρὸς	πρός	πρός	I+Prep
τὰ	τά	ὁ	DET
κρείττω	κρείττω	ἀγαθός	A
σαφῶς	σαφῶς	σαφῶς	I+Adv
μετατίθενται,	μετατίθενται	μετατίθημι	V
τῶν	τῶν	ὁ	DET
μελλόντων	μελλόντων	μέλλω	V
ὅλη	ὅλη	ὅλος	A
καὶ	καί	καί	I+Part
μὴ	μή	μή	I+Neg
μεθισταμένων	μεθισταμένων	μεθίστημι	V
καθίσταται.	καθίσταται	καθίστημι	V
Πλὴν	πλήν	πλήν	I+AdvPr
ἀλλ´	ἀλλ´	ἀλλά	I+Part
οὕτω	οὕτω	οὕτως	I+Adv
θαυμασίας	θαυμασίας	θαυμάσιος	A
οὔσης	οὔσης	εἰμί	V
γε	γε	γε	I+Part
τῆς	τῆς	ὁ	DET
σπουδῆς,	σπουδῆς	σπουδή	N+Com
ἐκεῖνο	ἐκεῖνο	ἐκεῖνος	PRO+Dem
πᾶς	πᾶς	πᾶς	A
ὁστισοῦν	ὁστισοῦν	ὁστισοῦν	PRO+Rel
εὖ	εὖ	εὖ	I+Adv
φρονῶν,	φρονῶν	φρονέω	V
οἶμαι,	οἶμαι	οἴομαι (–ω)	V
τῶν	τῶν	ὁ	DET
οὐκ	οὐκ	οὐ	I+Neg
ἐπαινουμένων	ἐπαινουμένων	ἐπαινέω	V
ἂν	ἄν	ἄν	I+Part
οἰηθείη,	οἰηθείη	οἴομαι (–ω)	V
ὅτι	ὅτι	ὅτι	I+Conj
γε	γε	γε	I+Part
τοὺς	τούς	ὁ	DET
εἰς	εἰς	εἰς	I+Prep
ἄκρον	ἄκρον	ἄκρος α ον	A
δυνάμεως	δυνάμεως	δύναμις	N+Com
λόγων	λόγων	λόγος	N+Com
ἐληλακότας	ἐληλακότας	ἐλαύνω	V
παραδραμὼν	παραδραμών	παρατρέχω	V
καὶ	καί	καί	I+Part
προὔργου	προὔργου	προὔργου	I+Adv
παντὸς	παντός	πᾶς	A
τὸ	τό	ὁ	DET
λογογραφεῖν	λογογραφεῖν	λογογραφέω	V
ἀεὶ	ἀεί	ἀεί	I+Adv
ποιουμένους,	ποιουμένους	ποιέω	V
ἐμοὶ	ἐμοί	ἐγώ	PRO+Per1s
τὴν	τήν	ὁ	DET
τοσαύτην	τοσαύτην	τοσοῦτος	PRO+Dem
ἐγχείρησιν	ἐγχείρησιν	ἐγχείρησις	N+Com
ἀπερισκέπτως	ἀπερισκέπτως	ἀπερισκέπτως	I+Adv
ἀνέθου,	ἀνέθου	ἀνατίθημι	V
νωθρότητι	νωθρότητι	νωθρότης	N+Com
διανοίας	διανοίας	διάνοια	N+Com
ἀμαθῶς	ἀμαθῶς	ἀμαθῶς	I+Adv
ἀληθῶς	ἀληθῶς	ἀληθῶς	I+Adv
ἔχοντι	ἔχοντι	ἔχω	V
περὶ	περί	περί	I+Prep
λόγους	λόγους	λόγος	N+Com
καὶ	καί	καί	I+Part
πρὸς	πρός	πρός	I+Prep
πᾶσαν	πᾶσαν	πᾶς	A
ἡντινοῦν	ἡντινοῦν	ὁστισοῦν	PRO+Rel
ἀγαθῶν	ἀγαθῶν	ἀγαθός	A
κτῆσιν	κτῆσιν	κτῆσις	N+Com
ῥαθυμοῦντι	ῥαθυμοῦντι	ῥαθυμέω	V
καθάπαξ.	καθάπαξ	καθάπαξ	I+Adv
Καὶ	καί	καί	I+Part
ταὐτόν,	ταὐτόν	ὁ@αὐτός	DET@PRO+Dem
οἶμαι,	οἶμαι	οἴομαι (–ω)	V
πέπονθας	πέπονθας	πάσχω	V
ταῖς	ταῖς	ὁ	DET
μελίσσαις,	μελίσσαις	μέλισσα	N+Com
ὅτε	ὅτε	ὅτε	I+Conj
τὰς	τάς	ὁ	DET
ἀρχὰς	ἀρχάς	ἀρχή	N+Com
ζητεῖν	ζητεῖν	ζητέω	V
τοῦ	τοῦ	ὁ	DET
μέλιτος	μέλιτος	μέλι	N+Com
κατεπείγονται·	κατεπείγονται	κατεπείγω	V
παρατρέχουσι	παρατρέχουσι	παρατρέχω	V
μὲν	μέν	μέν	I+Part
γάρ,	γάρ	γάρ	I+Part
ὥς	ὡς	ὡς (ὅς)	I+Conj
φασι,	φασι	φημί	V
τῶν	τῶν	ὁ	DET
ἀνθέων	ἀνθέων	ἄνθος (τό)	N+Com
τὰ	τά	ὁ	DET
εὔοσμα,	εὔοσμα	εὔοσμος	A
ἐφίπτανται	ἐφίπτανται	ἐφίπταμαι	V
δὲ	δέ	δέ	I+Part
τῷ	τῷ	ὁ	DET
θύμῳ,	θύμῳ	θύμος	N+Com
φυτῷ	φυτῷ	φυτόν	N+Com
δριμύτητος	δριμύτητος	δριμύτης	N+Com
γέμοντι	γέμοντι	γέμω	V
καὶ	καί	καί	I+Part
λίαν	λίαν	λίαν	I+Adv
ἀνόσμῳ.	ἀνόσμῳ	ἄνοσμος	A
Ἀλλὰ	ἀλλά	ἀλλά	I+Part
δεινὸν	δεινόν	δεινός	A
ἡ	ἡ	ὁ	DET
φιλία,	φιλία	φιλία	N+Com
πάντας	πάντας	πᾶς	A
ἁπλῶς	ἁπλῶς	ἁπλῶς	I+Adv
τοὺς	τούς	ὁ	DET
ἐνισχυμένους	ἐνισχυμένους	ἐνισχύω	V
γε	γε	γε	I+Part
ταύτῃ	ταύτῃ	οὗτος	PRO+Dem
πάντα	πάντα	πᾶς	A
καὶ	καί	καί	I+Part
λέγειν	λέγειν	λέγω	V
ὑπὲρ	ὑπέρ	ὑπέρ	I+Prep
τῶν	τῶν	ὁ	DET
φίλων	φίλων	φίλος	A
καὶ	καί	καί	I+Part
πράττειν	πράττειν	πράσσω	V
πρὸς	πρός	πρός	I+Prep
βίαν	βίαν	βία (βίαιος)	N+Com
κινοῦσα,	κινοῦσα	κινέω	V
τὸν	τόν	ὁ	DET
παρὰ	παρά	παρά	I+Prep
τῶν	τῶν	ὁ	DET
πολλῶν	πολλῶν	πολύς	A
ἔπαινον	ἔπαινον	ἔπαινος	N+Com
αὐτοῖς	αὐτοῖς	αὐτός	PRO+Dem
προξενεῖν	προξενεῖν	προξενέω	V
εἰωθυῖα.	εἰωθυῖα	ἔθω	V
Τοῦτο	τοῦτο	οὗτος	PRO+Dem
γὰρ	γάρ	γάρ	I+Part
ἦν	ἦν	εἰμί	V
τὸ	τό	ὁ	DET
καὶ	καί	καί	I+Part
σὲ	σε	σύ	PRO+Per2s
τοσοῦτον	τοσοῦτον	τοσοῦτος	PRO+Dem
ἡμᾶς	ἡμᾶς	ἡμεῖς	PRO+Per1p
ἀναπεῖσαι	ἀναπεῖσαι	ἀναπείθω	V
καταναγκάσαν,	καταναγκάσαν	καταναγκάζω	V
τὴν	τήν	ὁ	DET
ἐκ	ἐκ	ἐκ	I+Prep
τῶν	τῶν	ὁ	DET
ἀκουόντων	ἀκουόντων	ἀκούω	V
ἡμῖν	ἡμῖν	ἡμεῖς	PRO+Per1p
εὐφημίαν	εὐφημίαν	εὐφημία	N+Com
ἴσως	ἴσως	ἴσως	I+Adv
προσγενέσθαι	προσγενέσθαι	προσγίγνομαι	V
βεβουλημένον,	βεβουλημένον	βούλομαι	V
κἀντεῦθεν	κἀντεῦθεν	καί@ἐντεῦθεν	I+Part@I+Adv
τῇ	τῇ	ὁ	DET
φιλίᾳ	φιλίᾳ	φιλία	N+Com
χαρίσασθαι.	χαρίσασθαι	χαρίζομαι (–ω)	V
Ἐγὼ	ἐγώ	ἐγώ	PRO+Per1s
μὲν	μέν	μέν	I+Part
οὖν	οὖν	οὖν	I+Part
βουλοίμην	βουλοίμην	βούλομαι	V
ἂν	ἄν	ἄν	I+Part
τὴν	τήν	ὁ	DET
σιωπὴν	σιωπήν	σιωπή	N+Com
ὡς	ὡς	ὡς (ὅς)	I+Conj
ἀκίνδυνον	ἀκίνδυνον	ἀκίνδυνος	A
μᾶλλον	μᾶλλον	μάλα	I+Adv
ἑλέσθαι	ἑλέσθαι	αἱρέω	V
καὶ	καί	καί	I+Part
τὴν	τήν	ὁ	DET
παροῦσαν	παροῦσαν	πάρειμι (εἰμί)	V
ὑπόθεσιν	ὑπόθεσιν	ὑπόθεσις	N+Com
ὡς	ὡς	ὡς (ὅς)	I+Conj
τὴν	τήν	ὁ	DET
ἐμὴν	ἐμήν	ἐμός	PRO+Pos1s
ὑπερβαίνουσαν	ὑπερβαίνουσαν	ὑπερβαίνω	V
δύναμιν	δύναμιν	δύναμις	N+Com
παραιτήσασθαι	παραιτήσασθαι	παραιτέομαι	V
πάνυ	πάνυ	πάνυ	I+Adv
δικαίως.	δικαίως	δικαίως	I+Adv
Λαβὼν	λαβών	λαμβάνω	V
δ´	δ´	δέ	I+Part
ἐπὶ	ἐπί	ἐπί	I+Prep
νοῦν	νοῦν	νόος	N+Com
τῆς	τῆς	ὁ	DET
ἀπειθείας	ἀπειθείας	ἀπείθεια	N+Com
τὸν	τόν	ὁ	DET
κίνδυνον	κίνδυνον	κίνδυνος	N+Com
ὅσος	ὅσος	ὅσος	PRO+Rel
καὶ	καί	καί	I+Part
διὰ	διά	διά	I+Prep
τοῦτ´	τοῦτ´	οὗτος	PRO+Dem
εἰς	εἰς	εἰς	I+Prep
ἀνάγκην	ἀνάγκην	ἀνάγκη	N+Com
συνελαθεὶς	συνελαθείς	συνελαύνω	V
ἀπαραίτητον,	ἀπαραίτητον	ἀπαραίτητος	A
δεῖν	δεῖν	δέω (δεήσω)	V
ᾤμην	ᾤμην	οἴομαι (–ω)	V
ἕτοιμον	ἕτοιμον	ἕτοιμος	A
ἐμαυτὸν	ἐμαυτόν	ἐμαυτοῦ	PRO+Ref1s
παρασχεῖν	παρασχεῖν	παρέχω	V
σου	σου	σύ	PRO+Per2s
τῇ	τῇ	ὁ	DET
ἀξιώσει	ἀξιώσει	ἀξίωσις	N+Com
καί	καί	καί	I+Part
σου	σου	σύ	PRO+Per2s
τοὐπίταγμα	τοὐπίταγμα	ὁ@ἐπίταγμα	DET@N+Com
πεπληρωκέναι	πεπληρωκέναι	πληρόω	V
ὡς	ὡς	ὡς (ὅς)	I+Conj
δύναμις.	δύναμις	δύναμις	N+Com
Κἀπειδήπερ	κἀπειδήπερ	καί@ἐπειδήπερ	I+Part@I+Conj
ἐπικλινὴς	ἐπικλινής	ἐπικλινής	A
ἐγὼ	ἐγώ	ἐγώ	PRO+Per1s
καὶ	καί	καί	I+Part
εὐγνώμων	εὐγνώμων	εὐγνώμων	A
πρὸς	πρός	πρός	I+Prep
τὸ	τό	ὁ	DET
ζητούμενον	ζητούμενον	ζητέω	V
ὤφθην	ὤφθην	ὁράω	V
σοι	σοι	σύ	PRO+Per2s
καὶ	καί	καί	I+Part
σὴν	σήν	σός	PRO+Pos2s
χάριν,	χάριν	χάρις	N+Com
ὧν	ὧν	ὅς ἥ ὅ	PRO+Rel
οὐκ	οὐκ	οὐ	I+Neg
ἐβουλόμην	ἐβουλόμην	βούλομαι	V
κατατετολμηκέναι	κατατετολμηκέναι	κατατολμάω	V
προῄρημαι,	προῄρημαι	προαιρέω	V
δίκαιον	δίκαιον	δίκαιος	A
ἂν	ἄν	ἄν	I+Part
εἴη	εἴη	εἰμί	V
καὶ	καί	καί	I+Part
σὲ	σε	σύ	PRO+Per2s
τῆς	τῆς	ὁ	DET
