text_form	form	lemma	pos
მოქცევაჲ	მოქცევაჲ	მოქცევაჲ	N+Com
ქართლისაჲ	ქართლისაჲ	ქართლი	N+Top
[თავი:	თავი	თავი	N+Com
ა:]	ა	1	NUMA+Car
პირველ,	პირველ	პირველი	NUM+Ord
ოდეს	ოდეს	ოდეს	I+Adv
ალექსანდრე	ალექსანდრე	ალექსანდრე	N+Ant
მეფემან	მეფემან	მეფჱ	N+Com
ნათესავნი	ნათესავნი	ნათესავი	V+Part
იგი	იგი	იგი	PRO+Dem
ლოთის	ლოთის	ლოთ	N+Ant
შვილთანი	შვილთანი	შვილი	N+Com
წარიქცინა	წარიქცინა	წარქცევა	V+Mas
და	და	და	I+Conj
შეჴადნა	შეჴადნა	შეჴდომა	V+Mas
იგინი	იგინი	იგი	PRO+Dem
კედარსა	კედარსა	კედარ	N+Top
მას	მას	იგი	PRO+Dem
ქუეყანასა,	ქუეყანასა	ქუეყანაჲ	N+Com
იხილნა	იხილნა	ხილვა	V+Mas
ნათესავნი	ნათესავნი	ნათესავი	V+Part
სასტიკნი	სასტიკნი	სასტიკი	A
ბუნ-თურქნი,	ბუნ-თურქნი	ბუნ-თურქი	A
მსხდომარენი	მსხდომარენი	მსხდომარჱ	V+Part
მდინარესა	მდინარესა	მდინარჱ	V+Part
ზედა	ზედა	ზედა	I+Prep
მტკუარსა,	მტკუარსა	მტკუარი	N+Top
მიხუევით,	მიხუევით	მიხუევაჲ	N+Com
ოთხ	ოთხ	ოთხი	NUM+Car
ქალაქად,	ქალაქად	ქალაქი	N+Com
და	და	და	I+Conj
დაბნები	დაბნები	დაბაჲ	N+Com
მათი:	მათი	მათი	PRO+Pos3p
სარკინე	სარკინე	სარკინე	N+Top
ქალაქი,	ქალაქი	ქალაქი	N+Com
კასპი,	კასპი	კასპი	N+Top
ურბნისი	ურბნისი	ურბნისი	N+Top
და	და	და	I+Conj
ოძრაჴე,	ოძრაჴე	ოძრაჴე	N+Top
და	და	და	I+Conj
ციხენი	ციხენი	ციხჱ	N+Com
მათნი:	მათნი	იგი	PRO+Dem
ციხჱ	ციხჱ	ციხჱ	N+Com
დიდი	დიდი	დიდი	A
სარკინისაჲ,	სარკინისაჲ	სარკინე	N+Top
უფლისციხჱ	უფლისციხჱ	უფლისციხჱ	N+Top
კასპისა,	კასპისა	კასპი	N+Top
ურბნისისა	ურბნისისა	ურბნისი	N+Top
და	და	და	I+Conj
ოძრაჴისაჲ.	ოძრაჴისაჲ	ოძრაჴე	N+Top
დაუკჳრდა	დაუკჳრდა	დაკჳრვება	V+Mas
ალექსანდრეს	ალექსანდრეს	ალექსანდრე	N+Ant
და	და	და	I+Conj
ცნა,	ცნა	ცნობა	V+Mas
რამეთუ	რამეთუ	რამეთუ	I+Conj
იებოსელთა	იებოსელთა	იებოსელი	A
ნათესავნი	ნათესავნი	ნათესავი	V+Part
იყვნეს,	იყვნეს	ყოფა	V+Mas
ყოველსა	ყოველსა	ყოველი	A
ჴორციელსა	ჴორციელსა	ჴორციელი	A
ჭამდეს	ჭამდეს	ჭამა	V+Mas
და	და	და	I+Conj
სამარე	სამარე	სამარჱ	N+Com
მათი	მათი	მათი	PRO+Pos3p
არა	არა	არა	I+Part
იყო,	იყო	ყოფა	V+Mas
მკუდარსა	მკუდარსა	მკუდარი	V+Part
შეშჭამდეს.	შეშჭამდეს	შეჭმა	V+Mas
და	და	და	I+Conj
ვერ	ვერ	ვერ	I+Part
ეძლო	ეძლო	ძლევა	V+Mas
ბრძოლაჲ	ბრძოლაჲ	ბრძოლაჲ	N+Com
მათი	მათი	მათი	PRO+Pos3p
მეფესა,	მეფესა	მეფჱ	N+Com
და	და	და	I+Conj
წარვიდა.	წარვიდა	წარსლვა	V+Mas
მაშინ	მაშინ	მაშინ	I+Adv
მოვიდეს	მოვიდეს	მოსლვა	V+Mas
ნათესავნი	ნათესავნი	ნათესავი	V+Part
მბრძოლნი,	მბრძოლნი	მბრძოლი	V+Part
ქალდეველთაგან	ქალდეველთაგან	ქალდეველი@გან	A@I+Prep
გამოსხმულნი,	გამოსხმულნი	გამოსხმული	V+Part
ჰონნი,	ჰონნი	ჰონი	A
და	და	და	I+Conj
ითხოვეს	ითხოვეს	თხოვა	V+Mas
ბუნ-თურქთა	ბუნ-თურქთა	ბუნ-თურქი	A
უფლისაგან	უფლისაგან	უფალი@გან	N+Com@I+Prep
ქუეყანაჲ	ქუეყანაჲ	ქუეყანაჲ	N+Com
ხარკითა.	ხარკითა	ხარკი	N+Com
და	და	და	I+Conj
დასხდეს	დასხდეს	დასხმა	V+Mas
იგინი	იგინი	იგი	PRO+Dem
ზანავს.	ზანავს	ზანავ	N+Top
და	და	და	I+Conj
ეპყრა	ეპყრა	პყრობა	V+Mas
იგი,	იგი	იგი	PRO+Dem
რომელ	რომელ	რომელი (იგი)	PRO+Rel
ხარკითა	ხარკითა	ხარკი	N+Com
აქუნდა,	აქუნდა	ქონება	V+Mas
ჰრქჳან	ჰრქჳან	რქუმა	V+Mas
მას	მას	იგი	PRO+Dem
ხერკი.	ხერკი	ხერკი	N+Top
და	და	და	I+Conj
შემდგომად	შემდგომად	შემდგომი	V+Part
რაოდენისამე	რაოდენისამე	რაოდენი@მე	PRO+Int@PRO+Dem
ჟამისა	ჟამისა	ჟამი	N+Com
მოვიდა	მოვიდა	მოსლვა	V+Mas
ალექსანდრე,	ალექსანდრე	ალექსანდრე	N+Ant
მეფჱ	მეფჱ	მეფჱ	N+Com
ყოვლისა	ყოვლისა	ყოველი	A
ქუეყანისაჲ,	ქუეყანისაჲ	ქუეყანაჲ	N+Com
და	და	და	I+Conj
დალეწნა	დალეწნა	დალეწვა	V+Mas
სამნი	სამნი	სამი	NUM+Car
ესე	ესე	ესე	PRO+Dem
ქალაქნი	ქალაქნი	ქალაქი	N+Com
და	და	და	I+Conj
ციხენი,	ციხენი	ციხჱ	N+Com
და	და	და	I+Conj
ჰონთა	ჰონთა	ჰონი	A
დასცა	დასცა	დაცემა	V+Mas
მახჳლი.	მახჳლი	მახჳლი	A
ხოლო	ხოლო	ხოლო	I+Conj
სარკინესა	სარკინესა	სარკინე	N+Top
ქალაქსა	ქალაქსა	ქალაქი	N+Com
ებრძოლა	ებრძოლა	ბრძოლა	V+Mas
ათერთმეტ	ათერთმეტ	ათერთმეტი	NUM+Car
თთუჱ	თთუჱ	თთუჱ	N+Com
და	და	და	I+Conj
დადგა	დადგა	დადგომა	V+Mas
სარკინესა	სარკინესა	სარკინე	N+Top
დასავალით	დასავალით	დასავალი	V+Part
კერძო.	კერძო	კერძოჲ	A
და	და	და	I+Conj
დასცა	დასცა	დაცემა	V+Mas
