text_form	form	lemma	pos
ܬܘܒ	ܬܘܒ	ܬܘܼܒ	ADV
ܡܐܡܪܐ	ܡܐܡܪܐ	ܡܹܐܡܪܵܐ	NOUN
ܕܥܠ	ܕܥܠ	ܕـ@ܥܲܠ 1	PART@PART
ܬܐܘܡܐ	ܬܐܘܡܐ	ܬܐܘܡܐ	NAME_ant
[ܫܠܝܚ‍]‍ܐ	ܫܠܝܚܐ	ܫܠܝܼܚܵܐ 1	NOUN
ܘܥܠ	ܘܥܠ	ܘـ@ܥܲܠ 1	PART@PART
ܩܝ‍[‍ܡܬܐ	ܩܝܡܬܐ	ܩܝܵܡܬܵܐ	NOUN
ܕܡܪܢ]	ܕܡܪܢ	ܕـ@ܡܵܪܵܐ@ܚܢܲܢ	PART@NOUN@PRO_pers
ܕܝܠܗ	ܕܝܠܗ	ܕܝܼܠـ@ܗܘܼ	PART@PRO_pers
[ܟܕ	ܟܕ	ܟܲܕ	PART
ܕܝܠܗ]	ܕܝܠܗ	ܕܝܼܠـ@ܗܘܼ	PART@PRO_pers
ܕܛܘܒ‍[‍ܢܐ	ܕܛܘܒܢܐ	ܕـ@ܛܘܼܒܵܢܵܐ	PART@NOUN
ܡܪܝ	ܡܪܝ	ܡܵܪܵܐ@ܐܸܢܵܐ	NOUN@PRO_pers
ܝܥܩܘܒ]	ܝܥܩܘܒ	ܝܥܩܘܒ	NAME_ant
ܟܕ	ܟܕ	ܟܲܕ	PART
ܩ̣ܡ	ܩܡ	ܩܵܡ	V1
ܪܥ̇ܝܐ	ܪܥܝܐ	ܪܵܥܝܵܐ	NOUN
ܡܢ	ܡܢ	ܡܸܢ	PART
ܒܝܬ	ܒܝܬ	ܒܲܝܢܲܝ	PART
ܡ̈ܝ̣ܬܐ	ܡܝܬܐ	ܡܝܼܬܵܐ	ADJ
ܒܚܝܠܐ	ܒܚܝܠܐ	ܒـ@ܚܲܝܠܵܐ	PART@NOUN
ܪܒܐ܆	ܪܒܐ	ܪܲܒ݁ܵܐ	ADJ
ܒܐܬ̇ܐ	ܒܐܬܐ	ܒـ@ܐܵܬ݂ܵܐ	PART@NOUN
ܕܬ̣ܗܪܐ	ܕܬܗܪܐ	ܕـ@ܬܸܗܪܵܐ	PART@NOUN
ܣ̣ܥܪ	ܣܥܪ	ܣܥܲܪ	V1
ܠܫ̈ܠܝܚܐ	ܠܫܠܝܚܐ	ܠـ@ܫܠܝܼܚܵܐ 1	PART@NOUN
ܘܫܪܪ	ܘܫܪܪ	ܘـ@ܫܲܪܲܪ	PART@V3
ܐܢܘܢ.	ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܒܬܖ̈ܥܐ	ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚ̣ܝ̈ܕܐ	ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܥ̣ܠ	ܥܠ	ܥܲܠ 2	V1
ܨܝܕܝܗܘܢ	ܨܝܕܝܗܘܢ	ܨܹܝܕ@ܗܸܢܘܿܢ	PART@PRO_pers
ܟܕ	ܟܕ	ܟܲܕ	PART
ܠܐ	ܠܐ	ܠܵܐ	PART
ܦܬܝ̣ܚܝܢ܆	ܦܬܝܚܝܢ	ܦܬܝܼܚܵܐ	ADJ
ܕܒܬܕܡܘܪܬܐ	ܕܒܬܕܡܘܪܬܐ	ܕـ@ܒـ@ܬܸܕܡܘܿܪܬܵܐ	PART@PART@NOUN
ܢܬܚ̇ܘܐ	ܢܬܚܘܐ	ܐܸܬܚܵܘܝܼ	V4
ܠܗܘܢ	ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܐܠܗܐܝܬ.	ܐܠܗܐܝܬ	ܐܲܠܵܗܵܐܝܼܬ	ADV
ܒܚܕܐ	ܒܚܕܐ	ܒـ@ܚܲܕ	PART@CARD
ܥܠ̣ܬܐ	ܥܠܬܐ	ܥܸܠܬ݂ܵܐ	NOUN
ܚܒ̣ܫ	ܚܒܫ	ܚܒܲܫ	V1
ܠܒ̇ܥܬܐ	ܠܒܥܬܐ	ܠـ@ܒܥܵܬ݂ܵܐ	PART@NOUN
ܕܣ̈ܓܝܐܬܐ܆	ܕܣܓܝܐܬܐ	ܕـ@ܣܲܓܝܼܐܵܐ	PART@ADJ
ܕܠܬܠܡ̈ܝܕܐ	ܕܠܬܠܡܝܕܐ	ܕـ@ܠـ@ܬܲܠܡܝܼܕܵܐ	PART@PART@NOUN
ܒܓ̣ܠܝܐ	ܒܓܠܝܐ	ܒـ@ܓܸܠܝܵܐ	PART@NOUN
ܢܚ̇ܟܡ	ܢܚܟܡ	ܚܲܟܸ݁ܡ	V3
ܥܠ	ܥܠ	ܥܲܠ 1	PART
ܣܘܥܖ̈ܢܘܗܝ.	ܣܘܥܪܢܘܗܝ	ܣܘܼܥܪܵܢܵܐ@ܗܘܼ	NOUN@PRO_pers
ܐܠ̣ܦ	ܐܠܦ	ܐܲܠܸܦ	V5
ܐܢܘܢ	ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܐܦ	ܐܦ	ܐܵܦ	PART
ܥܠ	ܥܠ	ܥܲܠ 1	PART
ܝ̣ܠܕܗ	ܝܠܕܗ	ܝܲܠܕܵܐ@ܗܘܼ	NOUN@PRO_pers
ܘܥܠ	ܘܥܠ	ܘـ@ܥܲܠ 1	PART@PART
ܢܘܚܡܗ܆	ܢܘܚܡܗ	ܢܘܼܚܵܡܵܐ@ܗܘܼ	NOUN@PRO_pers
ܕܕܠܐ	ܕܕܠܐ	ܕـ@ܕـ@ܠܵܐ	PART@PART@PART
ܒܨܬܐ	ܒܨܬܐ	ܒܨܵܬܵܐ	NOUN
ܗܝ	ܗܝ	ܗܝܼ	PRO_pers
ܟܠܗ̇	ܟܠܗ	ܟܘܿܠ@ܗܝܼ	PRO_ind@PRO_pers
ܐܘܪܚܐ	ܐܘܪܚܐ	ܐܘܼܪܚܵܐ	NOUN
ܕܣܥܘܪܘܬܗ.	ܕܣܥܘܪܘܬܗ	ܕـ@ܣܵܥܘܿܪܘܼܬܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܟܕ	ܟܕ	ܟܲܕ	PART
ܠܐ	ܠܐ	ܠܵܐ	PART
ܦܬܝܚ̣ܝܢ	ܦܬܝܚܝܢ	ܦܬܝܼܚܵܐ	ADJ
ܬܖ̈ܥܐ	ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܥ̣ܠ	ܥܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܐ	ܗܘܵܐ	V1
ܨܝܕ	ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡ̈ܝܕܐ܆	ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܕܢܚ̇ܘܐ	ܕܢܚܘܐ	ܕـ@ܚܵܘܝܼ	PART@V3
ܠܗܘܢ	ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܕܐܦܠܐ	ܕܐܦܠܐ	ܕـ@ܐܵܦ@ܠܵܐ	PART@PART@PART
ܒܬܘ̈ܠܐ	ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܫ̣ܪܐ	ܫܪܐ	ܫܪܵܐ	V1
ܟܕ	ܟܕ	ܟܲܕ	PART
ܢ̇ܦܩ.	ܢܦܩ	ܢܦܲܩ	V1
ܥ̣ܠ	ܥܠ	ܥܲܠ 2	V1
ܠܥܠܝ̣ܬܐ	ܠܥܠܝܬܐ	ܠـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܐܟܡܐ	ܐܟܡܐ	ܐܲܟܡܵܐ	PART
ܕܢܦ̣ܩ	ܕܢܦܩ	ܕـ@ܢܦܲܩ	PART@V1
ܡܢ	ܡܢ	ܡܸܢ	PART
ܓܘ	ܓܘ	ܓܵܘ	NOUN
ܟܪܣܐ܆	ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܕܠܐ	ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܗܘ̣ܘ	ܗܘܘ	ܗܘܵܐ	V1
ܠܐ̇ܝܢ	ܠܐܝܢ	ܠܐܝܼ	V1
ܠܡܥܩ̇ܒܘ	ܠܡܥܩܒܘ	ܠـ@ܥܲܩܸܒ	PART@V3
ܕܐܝܟܢ	ܕܐܝܟܢ	ܕـ@ܐܲܝܟ݁ܲܢܵܐ	PART@PRO_int
ܝ̣ܠܝܕ.	ܝܠܝܕ	ܝܼܠܸܕ	V1
ܘܕܡܢ	ܘܕܡܢ	ܘـ@ܕـ@ܡܸܢ	PART@PART@PART
ܝ̣ܠܕܗ	ܝܠܕܗ	ܝܲܠܕܵܐ@ܗܘܼ	NOUN@PRO_pers
ܫ̈ܠܝܚܐ	ܫܠܝܚܐ	ܫܠܝܼܚܵܐ 1	NOUN
ܗܝܕܝܢ	ܗܝܕܝܢ	ܗܵܝܕܹܝܢ	ADV
ܪܚܝܩܝܢ	ܪܚܝܩܝܢ	ܪܲܚܝܼܩܵܐ	ADJ
ܗܘܘ܆	ܗܘܘ	ܗܘܵܐ	V1
ܒܬܖ̈ܥܐ	ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚ̣̈ܝܕܐ	ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܒ̈ܬܘܠܐ	ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܕܐܡܗ	ܕܐܡܗ	ܕـ@ܐܸܡܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܨ̣ܪ	ܨܪ	ܨܵܪ 1	V1
ܚܟܝ̇ܡܐ.	ܚܟܝܡܐ	ܚܲܟ݁ܝܼܡܵܐ	ADJ
ܒܩܖ̈ܝܒܬܐ	ܒܩܪܝܒܬܐ	ܒـ@ܩܲܪܝܼܒܵܐ	PART@ADJ
ܡ̇ܠܦ	ܡܠܦ	ܐܲܠܸܦ	V5
ܗܘܐ	ܗܘܐ	ܗܘܵܐ	V1
ܠܗܘܢ	ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܖ̈ܚܝܩܬܐ܆	ܪܚܝܩܬܐ	ܪܲܚܝܼܩܵܐ	ADJ
ܘܒܕܡ̈ܬܚܙܝܢ	ܘܒܕܡܬܚܙܝܢ	ܘـ@ܒـ@ܕـ@ܐܸܬܚܙܝܼ	PART@PART@PART@V2
ܪܡ̇ܙ	ܪܡܙ	ܪܡܸܙ	V1
ܗܘܐ	ܗܘܐ	ܗܘܵܐ	V1
ܠܗܘܢ	ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܥܠ	ܥܠ	ܥܲܠ 1	PART
ܟܣ̈ܝܬܐ.	ܟܣܝܬܐ	ܟܸܣܝܵܐ	NOUN
ܒ̈ܬܘܠܐ	ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܚ̈ܬܝ̣ܡܐ	ܚܬܝܡܐ	ܚܬܝܼܡܵܐ	ADJ
ܒܬܖ̈ܥܐ	ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚ̣̈ܝܕܐ	ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܚ̣ܙܘ	ܚܙܘ	ܚܙܵܐ	V1
ܬܠܡ̈ܝܕܐ܆	ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܕܠܐ	ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܦܬܚ̣	ܦܬܚ	ܦܬܲܚ	V1
ܟܕ	ܟܕ	ܟܲܕ	PART
ܥ̣ܠ	ܥܠ	ܥܲܠ 2	V1
ܠܐ	ܠܐ	ܠܵܐ	PART
ܫ̣ܪܐ	ܫܪܐ	ܫܪܵܐ	V1
ܘܢܦ̣ܩ	ܘܢܦܩ	ܘـ@ܢܦܲܩ	PART@V1
ܬ̣ܗܪܐ	ܬܗܪܐ	ܬܸܗܪܵܐ	NOUN
ܪܒܐ.	ܪܒܐ	ܪܲܒ݁ܵܐ	ADJ
ܠܐ	ܠܐ	ܠܵܐ	PART
ܐܬ̣ܬܙܝܥܘ	ܐܬܬܙܝܥܘ	ܐܸܬ݁ܬ݁ܙܝܼܥ	V6
ܗܘܘ	ܗܘܘ	ܗܘܵܐ	V1
ܬܖ̈ܥܐ	ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܩܕܡܘܗܝ	ܩܕܡܘܗܝ	ܩܕܵܡ@ܗܘܼ	PART@PRO_pers
ܟܕ	ܟܕ	ܟܲܕ	PART
ܥ̇ܐܠ	ܥܐܠ	ܥܲܠ 2	V1
ܗܘܐ܆	ܗܘܐ	ܗܘܵܐ	V1
ܐܦܠܐ	ܐܦܠܐ	ܐܵܦ@ܠܵܐ	PART@PART
ܒ̈ܬܘܠܐ	ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܚܬܡܗܘܢ	ܚܬܡܗܘܢ	ܚܵܬܡܵܐ@ܗܸܢܘܿܢ	NOUN@PRO_pers
ܐܘܒ̣ܕܘ	ܐܘܒܕܘ	ܐܵܘܒܸܕ	V5
ܟܕ	ܟܕ	ܟܲܕ	PART
ܢ̇ܦܩ	ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ.	ܗܘܐ	ܗܘܵܐ	V1
ܫ̣ܪܐ	ܫܪܐ	ܫܪܵܐ	V1
ܒܥܠ̣ܝܬܐ	ܒܥܠܝܬܐ	ܒـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܘܣܘܟܖ̈ܐ	ܘܣܘܟܪܐ	ܘـ@ܣܘܼܟ݁ܪܵܐ	PART@NOUN
ܐܚ̣ܝܕܝܢ	ܐܚܝܕܝܢ	ܐܲܚܝܼܕܵܐ	ADJ
ܨܝܕ	ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡ̈ܝܕܐ܆	ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܢܦ̣ܩ	ܢܦܩ	ܢܦܲܩ	V1
ܡܢ	ܡܢ	ܡܸܢ	PART
ܟܪܣܐ	ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܘܛܒ̣̈ܥܐ	ܘܛܒܥܐ	ܘـ@ܛܲܒܥܵܐ	PART@NOUN
ܚܬ̣ܝܡܝܢ	ܚܬܝܡܝܢ	ܚܬܝܼܡܵܐ	ADJ
ܕܒܬܘܠܘܬܐ.	ܕܒܬܘܠܘܬܐ	ܕـ@ܒܬ݂ܘܼܠܘܼܬ݂ܵܐ	PART@NOUN
ܒܬ̣ܗܪܐ	ܒܬܗܪܐ	ܒـ@ܬܸܗܪܵܐ	PART@NOUN
ܢܦܩ̣	ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ	ܗܘܐ	ܗܘܵܐ	V1
ܡܢ	ܡܢ	ܡܸܢ	PART
ܓܘ	ܓܘ	ܓܵܘ	NOUN
ܟܪܣܐ	ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܕܠܐ	ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܦܘܫܩܐ܆	ܦܘܫܩܐ	ܦܘܼܫܵܩܵܐ	NOUN
ܘܒܬܕܡܘܪܬܐ	ܘܒܬܕܡܘܪܬܐ	ܘـ@ܒـ@ܬܸܕܡܘܿܪܬܵܐ	PART@PART@NOUN
ܫ̣ܪܐ	ܫܪܐ	ܫܪܵܐ	V1
ܒܥܠ̣ܝܬܐ	ܒܥܠܝܬܐ	ܒـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܘܠܐ	ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܡܬܥ̇ܩܒ.	ܡܬܥܩܒ	ܐܸܬܥܲܩܲܒ	V4
ܐܝܢܐ	ܐܝܢܐ	ܐܲܝܢܵܐ	PRO_int
ܕܐܡ̇ܪ	ܕܐܡܪ	ܕـ@ܐܸܡܲܪ	PART@V1
ܕܫ̣ܪܐ	ܕܫܪܐ	ܕـ@ܫܪܵܐ	PART@V1
ܒܬ̈ܘܠܐ	ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܟܕ	ܟܕ	ܟܲܕ	PART
ܢ̇ܦܩ	ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ܆	ܗܘܐ	ܗܘܵܐ	V1
ܢܐܡܪ	ܢܐܡܪ	ܐܸܡܲܪ	V1
ܡܕܝܢ	ܡܕܝܢ	ܡܵܕܹܝܢ	ADV
ܕܦܬܚ̣	ܕܦܬܚ	ܕـ@ܦܬܲܚ	PART@V1
ܬܖ̈ܥܐ	ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܟܕ	ܟܕ	ܟܲܕ	PART
ܥ̇ܐܠ	ܥܐܠ	ܥܲܠ 2	V1
ܗܘܐ.	ܗܘܐ	ܗܘܵܐ	V1
ܐܢ	ܐܢ	ܐܸܢ	PART
ܗ̇ܝ	ܗܝ	ܗܵܝ	PRO_dem
ܥܣܩܐ	ܥܣܩܐ	ܥܲܣܩܵܐ	ADJ
ܐܦܠܐ	ܐܦܠܐ	ܐܵܦ@ܠܵܐ	PART@PART
ܗܕܐ	ܗܕܐ	ܗܵܕܸܐ	PRO_dem
ܦܫܝܩܐ	ܦܫܝܩܐ	ܦܫܝܼܩܵܐ	ADJ
